18.6,18,18.6,18.6,18.6,18.6,18.6,11,9,9,12
18.6,18,18.6,18.6,18.6,18.6,18.6,11,9,9,12
18.6,18,18.6,18.6,18.6,18.6,18.6,11,9,9,12
18.7,18,18.6,18.6,18.6,18.6,18.6,11,9,9,12
18.7,19,18.7,18.6,18.6,18.6,18.6,11,9,9,12
18.7,19,18.7,18.7,18.6,18.6,18.6,11,9,9,12
18.7,19,18.7,18.7,18.7,18.6,18.6,11,9,9,12
18.8,19,18.7,18.7,18.7,18.7,18.6,11,9,9,12
18.8,19,18.8,18.7,18.7,18.7,18.7,11,9,9,12
18.7,19,18.8,18.8,18.7,18.7,18.7,11,9,9,12
18.7,19,18.7,18.8,18.8,18.7,18.7,11,9,9,12
18.8,19,18.7,18.7,18.8,18.8,18.7,11,9,9,12
18.8,19,18.8,18.7,18.7,18.8,18.8,11,9,9,12
18.8,19,18.8,18.8,18.7,18.7,18.8,11,9,9,12
19.7,19,18.8,18.8,18.8,18.7,18.7,11,9,9,11
19.3,19,19.7,18.8,18.8,18.8,18.7,11,9,9,11
19,19,19.3,19.7,18.8,18.8,18.8,10,9,9,12
18.9,19,19,19.3,19.7,18.8,18.8,10,9,9,12
19,19,18.9,19,19.3,19.7,18.8,10,9,9,12
18.8,19,19,18.9,19,19.3,19.7,10,9,9,12
18.7,19,18.8,19,18.9,19,19.3,10,9,9,12
18.6,19,18.7,18.8,19,18.9,19,10,9,9,12
18.4,19,18.6,18.7,18.8,19,18.9,10,9,9,12
18.3,20,18.4,18.6,18.7,18.8,19,10,9,9,12
18.2,20,18.3,18.4,18.6,18.7,18.8,10,9,9,12
18,20,18.2,18.3,18.4,18.6,18.7,10,9,9,11
18,20,18,18.2,18.3,18.4,18.6,10,9,9,11
17.9,20,18,18,18.2,18.3,18.4,10,9,9,11
17.8,20,17.9,18,18,18.2,18.3,10,8,9,11
17.7,20,17.8,17.9,18,18,18.2,10,9,8,11
17.5,20,17.7,17.8,17.9,18,18,10,9,8,11
17.5,20,17.5,17.7,17.8,17.9,18,10,9,8,11
17.4,20,17.5,17.5,17.7,17.8,17.9,10,9,8,11
17.3,20,17.4,17.5,17.5,17.7,17.8,10,8,8,11
17.3,20,17.3,17.4,17.5,17.5,17.7,10,8,8,11
17.3,21,17.3,17.3,17.4,17.5,17.5,10,8,8,11
17.2,21,17.3,17.3,17.3,17.4,17.5,10,8,8,11
17.2,21,17.2,17.3,17.3,17.3,17.4,10,8,8,11
17.2,21,17.2,17.2,17.3,17.3,17.3,10,8,7,11
17.1,21,17.2,17.2,17.2,17.3,17.3,10,8,7,11
17.1,21,17.1,17.2,17.2,17.2,17.3,10,8,7,11
17.1,21,17.1,17.1,17.2,17.2,17.2,10,8,7,11
17.1,21,17.1,17.1,17.1,17.2,17.2,10,8,7,11
17,21,17.1,17.1,17.1,17.1,17.2,10,9,7,11
16.9,21,17,17.1,17.1,17.1,17.1,10,9,7,11
16.9,21,16.9,17,17.1,17.1,17.1,9,8,7,11
16.9,21,16.9,16.9,17,17.1,17.1,9,8,8,11
16.9,21,16.9,16.9,16.9,17,17.1,9,8,8,11
16.9,22,16.9,16.9,16.9,16.9,17,9,8,8,11
16.8,22,16.9,16.9,16.9,16.9,16.9,9,7,7,11
16.8,22,16.8,16.9,16.9,16.9,16.9,9,8,7,11
16.8,22,16.8,16.8,16.9,16.9,16.9,9,7,7,11
16.8,22,16.8,16.8,16.8,16.9,16.9,9,7,6,11
16.7,22,16.8,16.8,16.8,16.8,16.9,9,8,6,11
16.7,22,16.7,16.8,16.8,16.8,16.8,9,8,6,11
16.7,22,16.7,16.7,16.8,16.8,16.8,9,8,7,10
16.7,22,16.7,16.7,16.7,16.8,16.8,9,8,7,10
16.7,22,16.7,16.7,16.7,16.7,16.8,9,8,7,10
16.7,22,16.7,16.7,16.7,16.7,16.7,9,7,7,10
16.6,22,16.7,16.7,16.7,16.7,16.7,9,8,7,10
16.6,23,16.6,16.7,16.7,16.7,16.7,9,8,6,10
16.6,23,16.6,16.6,16.7,16.7,16.7,9,9,6,10
16.6,23,16.6,16.6,16.6,16.7,16.7,9,9,6,10
16.6,23,16.6,16.6,16.6,16.6,16.7,9,9,6,10
16.5,23,16.6,16.6,16.6,16.6,16.6,9,9,6,10
16.5,23,16.5,16.6,16.6,16.6,16.6,9,9,6,10
16.5,23,16.5,16.5,16.6,16.6,16.6,9,8,6,10
16.5,23,16.5,16.5,16.5,16.6,16.6,9,8,6,10
16.4,23,16.5,16.5,16.5,16.5,16.6,9,8,6,10
16.4,23,16.4,16.5,16.5,16.5,16.5,8,8,6,9
16.3,23,16.4,16.4,16.5,16.5,16.5,8,8,6,9
16.3,23,16.3,16.4,16.4,16.5,16.5,8,8,6,9
16.3,23,16.3,16.3,16.4,16.4,16.5,8,8,6,9
16.3,0,16.3,16.3,16.3,16.4,16.4,8,7,6,9
16.2,0,16.3,16.3,16.3,16.3,16.4,8,7,6,9
16.2,0,16.2,16.3,16.3,16.3,16.3,8,7,6,9
16.2,0,16.2,16.2,16.3,16.3,16.3,8,8,6,9
16.1,0,16.2,16.2,16.2,16.3,16.3,8,7,6,9
16.1,0,16.1,16.2,16.2,16.2,16.3,8,8,6,9
16.1,0,16.1,16.1,16.2,16.2,16.2,8,8,6,9
16,0,16.1,16.1,16.1,16.2,16.2,8,8,6,9
16,0,16,16.1,16.1,16.1,16.2,8,7,5,9
16,0,16,16,16.1,16.1,16.1,8,7,5,9
15.9,0,16,16,16,16.1,16.1,8,7,5,9
16,0,15.9,16,16,16,16.1,8,8,6,9
15.9,1,16,15.9,16,16,16,8,8,6,9
15.9,1,15.9,16,15.9,16,16,8,8,6,9
15.8,1,15.9,15.9,16,15.9,16,8,8,6,9
15.8,1,15.8,15.9,15.9,16,15.9,8,8,6,9
15.8,1,15.8,15.8,15.9,15.9,16,8,8,5,9
15.8,1,15.8,15.8,15.8,15.9,15.9,8,8,5,9
15.7,1,15.8,15.8,15.8,15.8,15.9,8,8,5,9
15.7,1,15.7,15.8,15.8,15.8,15.8,8,8,5,9
15.7,1,15.7,15.7,15.8,15.8,15.8,8,8,5,9
15.7,1,15.7,15.7,15.7,15.8,15.8,8,7,5,9
15.7,1,15.7,15.7,15.7,15.7,15.8,8,7,5,9
15.6,1,15.7,15.7,15.7,15.7,15.7,7,7,5,9
15.6,2,15.6,15.7,15.7,15.7,15.7,7,7,5,9
15.6,2,15.6,15.6,15.7,15.7,15.7,7,7,5,9
15.6,2,15.6,15.6,15.6,15.7,15.7,7,7,5,9
15.5,2,15.6,15.6,15.6,15.6,15.7,7,7,5,9
15.5,2,15.5,15.6,15.6,15.6,15.6,7,7,5,9
15.5,2,15.5,15.5,15.6,15.6,15.6,7,7,5,9
15.4,2,15.5,15.5,15.5,15.6,15.6,7,7,5,9
